source	target	mutualrank	logrank
KA120	COPG	0.03225806451612903	3.4339872044851463
SF3B1	COPG	0.06666666666666667	2.70805020110221
VAC8	NEW1	0.020618556701030927	3.8815637979434374
AP2B	LAA1	0.024691358024691357	3.7013019741124937
IMB1	AP1B1	0.04081632653061224	3.1986731175506815
ATR	CYC8	0.02666666666666667	3.624340932976365
COPB	RRP12	0.024691358024691357	3.7013019741124937
AP2A	NEW1	0.01680672268907563	4.085976312551584
TOR1	IMB4	0.1111111111111111	2.1972245773362196
AP3D	TOR2	0.034482758620689655	3.367295829986474
IMB2	RPN2	0.031746031746031744	3.4499875458315876
TR732	CND3	0.038461538461538464	3.258096538021482
VAC14	RTP1	0.0392156862745098	3.2386784521643803
SCY1	SF3B1	0.01092896174863388	4.516338972281476
IMB3	CND1	0.03508771929824561	3.349904087274605
GCN1	AP3D	0.046511627906976744	3.068052935133617
ATR	COPG	0.023529411764705882	3.7495040759303713
RPN2	AP3B	0.05263157894736842	2.9444389791664407
AP2A	TOR2	0.024691358024691357	3.7013019741124937
UTP10	TOR1	0.07407407407407407	2.6026896854443837
GCN1	TOR1	0.18181818181818182	1.7047480922384253
VAC8	EF3A	0.021505376344086023	3.8394523125933104
CSE1	IMB1	0.18181818181818182	1.7047480922384253
UTP20	VAC14	0.0625	2.772588722239781
TSC11	UFD4	0.031746031746031744	3.4499875458315876
AP1B1	AP2B	1.0	-0.0
XPO1	COPG	0.02040816326530612	3.891820298110627
PDS5	VID28	0.023529411764705882	3.7495040759303713
GCN1	IMA1	0.038461538461538464	3.258096538021482
KOG1	IMA1	0.012987012987012988	4.343805421853684
IMB3	USO1	0.02702702702702703	3.6109179126442243
NMD5	TOR2	0.025974025974025976	3.6506582412937383
TOR2	SCC2	0.02564102564102564	3.6635616461296463
STU2	ATR	0.01904761904761905	3.960813169597578
COPB	2AAA	0.08	2.5257286443082556
NEW1	UTP10	0.02247191011235955	3.7954891891721947
AP1B1	SCC2	0.0625	2.772588722239781
AP3B	GCN1	0.046511627906976744	3.068052935133617
CSE1	CEX1	0.009569377990430622	4.6491870714048655
IMA1	RRP12	0.029411764705882353	3.5263605246161616
AP1G1	RRP12	0.024691358024691357	3.7013019741124937
MET18	IMB2	0.06666666666666667	2.70805020110221
STU1	RTP1	0.024691358024691357	3.7013019741124937
IMA1	CEX1	0.01098901098901099	4.51085950651685
DOHH	STU2	0.029850746268656716	3.5115454388310208
COPG	SXM1	0.027777777777777776	3.58351893845611
CND1	2AAA	0.03571428571428571	3.332204510175204
IMA1	IMB2	0.045454545454545456	3.091042453358316
CEX1	GCN1	0.010869565217391304	4.5217885770490405
KA120	TTI1	0.034482758620689655	3.367295829986474
PDS5	TOR2	0.029850746268656716	3.5115454388310208
SXM1	AP2B	0.025974025974025976	3.6506582412937383
AP2B	CND1	0.05555555555555555	2.890371757896165
AP2A	IMA1	0.047619047619047616	3.044522437723423
UTP10	ECM29	0.1	2.3025850929940455
SCY1	IMB3	0.00975609756097561	4.629862798578463
XPO1	CSE1	0.125	2.0794415416798357
MET18	PDS5	0.04	3.2188758248682006
DOHH	AP2B	0.09090909090909091	2.3978952727983707
XPO1	VAC14	0.030303030303030304	3.4965075614664802
STU2	AP1B1	0.05263157894736842	2.9444389791664407
SIL1	VID28	0.05	2.995732273553991
TOR1	SCC3	0.01818181818181818	4.007333185232471
TR732	VAC14	0.028985507246376812	3.5409593240373143
MAK21	NOC3	1.0	-0.0
IMB2	RTP1	0.04081632653061224	3.1986731175506815
GCN1	NMD5	0.03773584905660377	3.2771447329921766
ATR	IMB1	0.028985507246376812	3.5409593240373143
LAA1	AP1B1	0.02631578947368421	3.6375861597263857
UTP20	MOT1	0.019230769230769232	3.951243718581427
AP1B1	RPN1	0.043478260869565216	3.1354942159291497
ECM29	CND3	0.02702702702702703	3.6109179126442243
